"Country or Area","Year","Value"
"Australia","2018","558047.219509756"
"Australia","2017","556612.265042082"
"Australia","2016","548862.546493278"
"Australia","2015","538618.776181576"
"Australia","2014","530411.017699534"
"Australia","2013","535006.813813143"
"Australia","2012","544732.756215615"
"Australia","2011","542511.917896035"
"Australia","2010","540571.409833721"
"Australia","2009","544285.461931382"
"Australia","2008","540669.000413683"
"Australia","2007","536888.602052634"
"Australia","2006","530787.987970756"
"Australia","2005","526206.972835304"
"Australia","2004","520315.182054526"
"Australia","2003","502301.77541877"
"Australia","2002","500807.889046869"
"Australia","2001","496982.309755838"
"Australia","2000","489373.841972358"
"Australia","1999","478199.840693722"
"Australia","1998","472629.669430223"
"Australia","1997","458841.602459653"
"Australia","1996","446681.849762258"
"Australia","1995","439004.900544292"
"Australia","1994","430653.332474529"
"Australia","1993","430612.555988275"
"Australia","1992","430216.380428684"
"Australia","1991","426015.21016654"
"Australia","1990","424998.38093939"
"Austria","2018","78950.33582953"
"Austria","2017","82023.357723654"
"Austria","2016","79467.2910526394"
"Austria","2015","78509.7834028229"
"Austria","2014","76346.0068622758"
"Austria","2013","79971.9754223437"
"Austria","2012","79528.7867900949"
"Austria","2011","82286.8873764192"
"Austria","2010","84612.8390494389"
"Austria","2009","80163.1299838511"
"Austria","2008","86747.7570890744"
"Austria","2007","87337.7687980078"
"Austria","2006","90022.829529358"
"Austria","2005","92427.268827558"
"Austria","2004","91139.8055033034"
"Austria","2003","91545.2380145664"
"Austria","2002","85906.9158702095"
"Austria","2001","84151.509466581"
"Austria","2000","80261.9868349659"
"Austria","1999","79931.0748458498"
"Austria","1998","81511.9621997012"
"Austria","1997","82175.9560490221"
"Austria","1996","82605.4951124535"
"Austria","1995","79382.9900743916"
"Austria","1994","76016.8276664485"
"Austria","1993","75771.0542958245"
"Austria","1992","75523.9976003331"
"Austria","1991","82157.1392197526"
"Austria","1990","78492.6119197923"
"Belarus","2018","91992.6067212831"
"Belarus","2017","91112.502204788"
"Belarus","2016","90043.5846085345"
"Belarus","2015","88445.264089375"
"Belarus","2014","93037.1202887886"
"Belarus","2013","93891.1785961767"
"Belarus","2012","92826.7902890163"
"Belarus","2011","91896.0100868785"
"Belarus","2010","92278.1533581085"
"Belarus","2009","90091.8349133108"
"Belarus","2008","93988.585416662"
"Belarus","2007","90175.1750812575"
"Belarus","2006","90609.1457964105"
"Belarus","2005","86694.0616340108"
"Belarus","2004","85276.3873149786"
"Belarus","2003","80496.1154280577"
"Belarus","2002","78345.4483892093"
"Belarus","2001","79623.4374461798"
"Belarus","2000","79588.9360923615"
"Belarus","1999","79655.9645323829"
"Belarus","1998","85898.555487918"
"Belarus","1997","84415.8696570568"
"Belarus","1996","83443.7077708538"
"Belarus","1995","81851.2203827093"
"Belarus","1994","88379.2674142259"
"Belarus","1993","105280.612349492"
"Belarus","1992","118221.917005477"
