"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2019","Kilowatts,  thousand","1755",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","1755",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","1755",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","1763",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","1763",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","1018",""
"Argentina","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","1018",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","407.5",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","407.5",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","408",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","360","1"
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","360","1"
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","360","1"
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","360","1"
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","360",""
"Armenia","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","815",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","5918",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","5918",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","5913",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","5913",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","5927",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","5927",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","5927",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","5927",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","5927",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","5902",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","5825",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","5825",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","5825",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","5802",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","5761",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","5761",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","5761",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","5738",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","5713",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","5713",""
"Belgium","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","5722",""
