"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","14.996",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","1",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","1",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","1",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","0",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","0",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","0",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","14.8",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","14.4",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","13.9",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2009","Kilowatts,  thousand","13.5",""
"Albania","Electricity - total net installed capacity of electric power plants, solar","2008","Kilowatts,  thousand","12.3",""
"Algeria","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","344",""
"Algeria","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","344",""
"Algeria","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","219",""
"Algeria","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","40",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","5.066",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","5.066",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","4.176",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","3.826",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","2.416",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","2.416",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","2.416",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","1",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","0",""
"American Samoa","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","0",""
"Andorra","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","2","1"
"Andorra","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","1.5",""
"Andorra","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","0.5",""
"Andorra","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","0.2",""
"Andorra","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","0.2",""
"Andorra","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","0.2",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","13",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","13",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","13",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","13",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","13",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","12",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","11",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","10",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","8",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","7",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2009","Kilowatts,  thousand","5",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2008","Kilowatts,  thousand","5",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2007","Kilowatts,  thousand","3",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2006","Kilowatts,  thousand","1",""
"Angola","Electricity - total net installed capacity of electric power plants, solar","2005","Kilowatts,  thousand","1",""
"Anguilla","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","0.5","1"
"Anguilla","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","0.5","1"
"Anguilla","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","0.5","1"
"Anguilla","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","1.1",""
"Anguilla","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","1.1",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","9",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","9",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","6",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","6",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","6",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","5",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","2",""
"Antigua and Barbuda","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","439",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","191",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","8",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","9",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","9",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","8",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","8",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","11.2",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","5","1"
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","0.026",""
"Argentina","Electricity - total net installed capacity of electric power plants, solar","2009","Kilowatts,  thousand","0.026",""
"Armenia","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","18",""
"Armenia","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","4.4",""
"Armenia","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","1",""
"Armenia","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","1",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","8626",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","7354",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","6689",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","5946",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","5287",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","4568",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","3799",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","2473",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","1091",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2009","Kilowatts,  thousand","332",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2008","Kilowatts,  thousand","85",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2007","Kilowatts,  thousand","73",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2006","Kilowatts,  thousand","61",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2005","Kilowatts,  thousand","52",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2004","Kilowatts,  thousand","46",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2003","Kilowatts,  thousand","39",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2002","Kilowatts,  thousand","34",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2001","Kilowatts,  thousand","29",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","2000","Kilowatts,  thousand","25",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1999","Kilowatts,  thousand","23",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1998","Kilowatts,  thousand","19",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1997","Kilowatts,  thousand","16",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1996","Kilowatts,  thousand","13",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1995","Kilowatts,  thousand","11",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1994","Kilowatts,  thousand","9",""
"Australia","Electricity - total net installed capacity of electric power plants, solar","1993","Kilowatts,  thousand","7",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","1438",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","1269",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","1096",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","937",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","785",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","626",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","337",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","174",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","89",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2009","Kilowatts,  thousand","49",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2008","Kilowatts,  thousand","30",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2007","Kilowatts,  thousand","24",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2006","Kilowatts,  thousand","22",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2005","Kilowatts,  thousand","21",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2004","Kilowatts,  thousand","27",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2003","Kilowatts,  thousand","23",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2002","Kilowatts,  thousand","9",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2001","Kilowatts,  thousand","7",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","2000","Kilowatts,  thousand","5",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1999","Kilowatts,  thousand","4",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1998","Kilowatts,  thousand","3",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1997","Kilowatts,  thousand","2",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1996","Kilowatts,  thousand","2",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1995","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1994","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1993","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, solar","1992","Kilowatts,  thousand","1",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","34.9",""
