"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - net production","2019","Kilowatt-hours, million","1230.5","1"
"Afghanistan","Electricity - net production","2018","Kilowatt-hours, million","979","1"
"Afghanistan","Electricity - net production","2017","Kilowatt-hours, million","1010.1","1"
"Afghanistan","Electricity - net production","2016","Kilowatt-hours, million","996.3","1"
"Afghanistan","Electricity - net production","2015","Kilowatt-hours, million","973.7","1"
"Afghanistan","Electricity - net production","2014","Kilowatt-hours, million","991.3","1"
"Afghanistan","Electricity - net production","2013","Kilowatt-hours, million","965.3","1"
"Afghanistan","Electricity - net production","2012","Kilowatt-hours, million","967","1"
"Afghanistan","Electricity - net production","2011","Kilowatt-hours, million","955","1"
"Afghanistan","Electricity - net production","2010","Kilowatt-hours, million","865",""
"Afghanistan","Electricity - net production","2009","Kilowatt-hours, million","836",""
"Afghanistan","Electricity - net production","2008","Kilowatt-hours, million","733",""
"Afghanistan","Electricity - net production","2007","Kilowatt-hours, million","897",""
"Afghanistan","Electricity - net production","2006","Kilowatt-hours, million","861",""
"Afghanistan","Electricity - net production","2005","Kilowatt-hours, million","856",""
"Afghanistan","Electricity - net production","2004","Kilowatt-hours, million","753",""
"Afghanistan","Electricity - net production","2003","Kilowatt-hours, million","877",""
"Afghanistan","Electricity - net production","2002","Kilowatt-hours, million","682.2",""
"Afghanistan","Electricity - net production","2001","Kilowatt-hours, million","650.1",""
"Afghanistan","Electricity - net production","2000","Kilowatt-hours, million","646.7",""
"Afghanistan","Electricity - net production","1999","Kilowatt-hours, million","644",""
"Afghanistan","Electricity - net production","1998","Kilowatt-hours, million","624",""
"Afghanistan","Electricity - net production","1997","Kilowatt-hours, million","628",""
"Afghanistan","Electricity - net production","1996","Kilowatt-hours, million","633",""
"Afghanistan","Electricity - net production","1995","Kilowatt-hours, million","633",""
"Afghanistan","Electricity - net production","1994","Kilowatt-hours, million","642",""
"Afghanistan","Electricity - net production","1993","Kilowatt-hours, million","650",""
"Afghanistan","Electricity - net production","1992","Kilowatt-hours, million","658",""
"Afghanistan","Electricity - net production","1991","Kilowatt-hours, million","945",""
"Afghanistan","Electricity - net production","1990","Kilowatt-hours, million","1055",""
"Albania","Electricity - net production","2019","Kilowatt-hours, million","5183.85",""
"Albania","Electricity - net production","2018","Kilowatt-hours, million","8506.92",""
"Albania","Electricity - net production","2017","Kilowatt-hours, million","4497.807","1"
"Albania","Electricity - net production","2016","Kilowatt-hours, million","7135.9",""
"Albania","Electricity - net production","2015","Kilowatt-hours, million","5866",""
"Albania","Electricity - net production","2014","Kilowatt-hours, million","4724.43",""
"Albania","Electricity - net production","2013","Kilowatt-hours, million","6956",""
"Albania","Electricity - net production","2012","Kilowatt-hours, million","4725",""
"Albania","Electricity - net production","2011","Kilowatt-hours, million","4158",""
"Albania","Electricity - net production","2010","Kilowatt-hours, million","7743.3",""
"Albania","Electricity - net production","2009","Kilowatt-hours, million","5230.49",""
"Albania","Electricity - net production","2008","Kilowatt-hours, million","3796.51",""
"Albania","Electricity - net production","2007","Kilowatt-hours, million","2898",""
"Albania","Electricity - net production","2006","Kilowatt-hours, million","5489",""
"Albania","Electricity - net production","2005","Kilowatt-hours, million","5426",""
"Albania","Electricity - net production","2004","Kilowatt-hours, million","5484",""
"Albania","Electricity - net production","2003","Kilowatt-hours, million","5190",""
"Albania","Electricity - net production","2002","Kilowatt-hours, million","3651",""
"Albania","Electricity - net production","2001","Kilowatt-hours, million","3663",""
"Albania","Electricity - net production","2000","Kilowatt-hours, million","4710",""
"Albania","Electricity - net production","1999","Kilowatt-hours, million","5283",""
"Albania","Electricity - net production","1998","Kilowatt-hours, million","5046",""
"Albania","Electricity - net production","1997","Kilowatt-hours, million","5145",""
"Albania","Electricity - net production","1996","Kilowatt-hours, million","5879",""
"Albania","Electricity - net production","1995","Kilowatt-hours, million","4382",""
"Albania","Electricity - net production","1994","Kilowatt-hours, million","3865",""
