"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","10",""
"Algeria","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","10",""
"Algeria","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","10",""
"Algeria","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","10",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2019","Kilowatts,  thousand","1611",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","752",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","229",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","217",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","217",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","194",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","194",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","133.8",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","82","1"
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","30",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","28",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","28",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","28",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","26",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","26",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","26",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","26",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","26",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","25",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","2000","Kilowatts,  thousand","14",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","1999","Kilowatts,  thousand","14",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","1998","Kilowatts,  thousand","13",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","1997","Kilowatts,  thousand","12",""
"Argentina","Electricity - total net installed capacity of electric power plants, wind","1996","Kilowatts,  thousand","4",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","2.9",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","2.9",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","3",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","3",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","4",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","4",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","4",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","4",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","4",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","3",""
"Armenia","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","3",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2019","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","30",""
"Aruba","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","30",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","5679",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","4816",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","4327",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","4234",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","3797",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","3221",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","2561",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","2127",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","1864",""
