country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,424998.38093939,426015.21016654,430216.380428684,430612.555988275,430653.332474529,439004.900544292,446681.84976225795,458841.602459653,472629.66943022294,478199.840693722,489373.84197235794,496982.30975583795,500807.889046869,502301.77541877,520315.182054526,526206.972835304,530787.987970756,536888.602052634,540669.000413683,544285.4619313821,540571.409833721,542511.917896035,544732.756215615,535006.813813143,530411.017699534,538618.776181576,548862.546493278,556612.265042082,558047.219509756
Austria,78492.61191979231,82157.1392197526,75523.9976003331,75771.0542958245,76016.8276664485,79382.99007439161,82605.4951124535,82175.9560490221,81511.9621997012,79931.0748458498,80261.9868349659,84151.509466581,85906.9158702095,91545.2380145664,91139.8055033034,92427.26882755801,90022.829529358,87337.7687980078,86747.75708907441,80163.1299838511,84612.8390494389,82286.8873764192,79528.7867900949,79971.9754223437,76346.0068622758,78509.7834028229,79467.2910526394,82023.357723654,78950.33582953
Belarus,137766.407452579,129185.867066076,118221.917005477,105280.61234949199,88379.2674142259,81851.2203827093,83443.7077708538,84415.8696570568,85898.555487918,79655.9645323829,79588.9360923615,79623.4374461798,78345.4483892093,80496.11542805769,85276.38731497861,86694.0616340108,90609.1457964105,90175.1750812575,93988.585416662,90091.8349133108,92278.1533581085,91896.0100868785,92826.79028901631,93891.1785961767,93037.12028878859,88445.264089375,90043.5846085345,91112.502204788,91992.60672128311
Belgium,146410.756770353,149137.370321857,148737.284169811,147741.143597003,152361.11378217,154495.96374782,158184.694427596,149720.792990585,154897.827042955,148647.75536570098,149704.631591464,148114.45386827,148157.106029471,148419.33239457902,149273.601133402,146251.98779575,143391.884211233,139789.969250374,139699.334784443,127051.67638837801,134315.855311123,123782.51194938699,120922.504007899,120949.314432581,115215.773038025,119418.39422467,118172.436384125,118005.104583405,118455.738042689
Bulgaria,101794.339456502,83349.880563167,77727.0681998472,76742.25082173929,73107.4102467806,74614.5365120729,74782.901595458,71967.7810653839,67955.9637660237,60709.302830446795,59580.02912225769,62640.6572681434,59963.839782417,64510.0445328155,63592.4116081295,64117.7271572935,64678.3534414348,68555.80156930849,67142.57082740401,58154.0786116116,60726.7297645258,65995.8050363621,60940.9453165433,55666.9875046332,58679.2531282361,61920.681043393095,59345.03461825901,61682.7576125021,57815.588540590994
Canada,603221.866919033,594872.982138977,612470.50945834,615048.507584933,636374.3340800271,653057.975462026,674575.215560094,686114.626194648,693059.075657216,707363.7657150921,730681.594255912,719697.167052545,723948.358790076,740245.804983118,741584.480166666,729747.165694537,720516.1091445909,742313.66328116,722567.96992693,680493.571152915,690530.616855534,702412.979308979,710108.2965149891,720877.453851271,721353.744563692,720380.1791123609,706196.414317703,713838.2065714679,729349.270395644
Croatia,31875.848692850497,25034.421291787203,23037.603147461403,23009.779843084103,22116.187510288397,22739.4298128319,23288.225306105,24534.4010748239,24923.5160004764,26053.2375783707,25708.815334902596,26894.1498296073,28007.7808450047,29468.1315905981,29465.491880926,29920.380928990096,30299.870807349904,31726.826921369302,30822.8520666412,28468.4159898552,28033.7268813845,27707.9210297846,25887.4641412081,24463.7742523052,23697.282888665897,24125.314682141,24275.3448818145,25032.0823887404,23792.7958045737
Cyprus,5690.44184317414,6207.65431442026,6662.69153653011,6944.98741078525,7204.8776919894,7143.861857907579,7490.329178737109,7581.988724336909,7909.481030410029,8187.099485651221,8457.560413321691,8401.04039906753,8634.013877169591,9023.8522890222,9235.396025058,9390.598190879151,9600.373034322422,9943.98677233734,10094.9643115386,9849.20691207407,9518.121595375971,9167.1413059387,8631.478638065799,7915.9202788148095,8291.25980429439,8345.4953733764,8794.0978935797,8974.39939936252,8811.61109954327
Czechia,197202.54755916802,178986.518180615,172533.926409337,164898.958829949,157406.667778151,156526.029053518,159559.048299186,154994.172551683,148844.488412912,139281.75606490698,149457.610304294,149497.285408987,145776.804245934,148967.35567569302,150048.219692234,147905.905266251,149080.894179095,150918.177749205,146084.374109774,137219.22153049,139900.211258156,138359.07347454698,134202.23329382,128984.257063545,126856.681490075,128303.744727115,130134.215383415,129059.001907768,127449.59502826599
Denmark,71000.0203865803,81630.672788624,75643.5403302919,77804.1134563567,81684.7187057919,78731.9644442038,91922.9711441811,82464.9367636671,78486.88467903361,76046.6288578891,71773.4116435669,73508.2381874096,72974.2773589225,78060.1726476778,71947.7496075558,67541.34057500059,75268.33840301889,70696.8231991846,67108.8122702233,64354.7946973745,64654.7726367585,59421.502083968204,54837.718617813494,56561.6035514853,52361.361257579105,49742.0868113713,51798.271728259904,49678.02367172,49694.4832986379
